name,streetaddress,city,zipcode,county
"Assisted Recovery Centers of America - St. Louis","1430 Olive Street Suite 100","St. Louis",63103,"St. Louis city "
"Asthma Ready Communities - Columbia","400 North Keene Street",Columbia,65201,"Boone "
"Asynchrony Labs","900 Spruce Street Suite 700 ","St. Louis",63102,"St. Louis "
"Atlanta C-3 School District","600 South Atterberry Street",Atlanta,63530,"Macon "
"ATSU Missouri School of Dentistry & Oral Health","1500 Park Avenue","St. Louis",63104,"St. Louis city "
"ATTC for Clinical Supervision","2464 Charlotte Street","Kansas City",64108,"Jackson "
"ATTC for Pregnant & Postpartum Women","5100 Rockhill Road","Kansas City",64110,"Jackson "
"Aurora R-VIII School District","500 West Olive Street",Aurora,65605,"Lawrence "
"Ava R-I School District","507 North Spring Street",Ava,65608,"Douglas "
"Avenue City R-IX School District","18069 Highway 169",Cosby,64436,"Andrew "
"Aviary Recovery Center ","22933 Highway 61",Eolia,63344,"Pike "
"Avilla R-XIII School District","400 Sarcoxie Street",Avilla,64833,"Jasper "
"AW Healthcare","7212 Balson Avenue","St. Louis",63130,"St. Louis "
"B.W. Robinson School for Severely Disabled","300 Lanning Lane",Rolla,65401,"Phelps "
"Baby & Child Associates","6601 Rockhill Road 105","Kansas City",64131,"Jackson "
"Bakersfield School District","357 State Highway O",Bakersfield,65609,"Ozark "
"Bariatric & Metabolic Institute ","97 North Kingshighway Suite 7 ","Cape Girardeau ",63701,"Cape Girardeau "
"Barnes Jewish College","5355 DelMar Blvd","St. Louis",63112,"St. Louis "
"Barry Pointe Family Care","9151 Northeast 81st Terrace Suite 105","Kansas City",64158,"Clay "
"Barton County Health Department","1301 East 12th Street",Lamar,64748,"Barton "
"Bates County Health Center","501 North Orange Street",Butler,64730,"Bates "
"Bates County Memorial Hospital","706 South High Street",Butler,64730,"Bates "
"Bates County Memorial Hospital - Nursery Street","615 West Nursery Street",Butler,64730,"Bates "
Bayer,"641 Lambert Pointe Drive","Hazelwood ",63042,"St. Louis "
"Bayless School District","4530 Weber Road","St. Louis",63123,"St. Louis "
"Beauton Drug","124 North Washington","East Prairie",63845,"Mississippi "
"Behavioral Health Group","723 East 18th Street","Kansas City",64108,"Jackson "
"Behavioral Health Group - Springfield","404 East Battlefield",Springfield,65807,"Greene "
"Behavioral Health Kansas City","10330 Hickman Mills Drive","Kansas City",64137,"Jackson "
"Behavioral Health Network of Greater St. Louis","2 Campbell Plaza","St. Louis",63139,"St. Louis "
"Behavioral Health Response","12647 Olive Boulevard Suite 200","St. Louis",63141,"St. Louis "
"Bell City R-II School District","25254 Walnut Street","Bell City",63735,"Stoddard "
"Belle Children's Services of Saint Louis Arc","1177 North Warson Road","Saint Louis",63132,"St. Louis "
"Belmont Management Company","1105 Thompson Street",Warrensburg,64093,"Johnson "
"Belton School District","110 West Walnut Street",Belton,64012,"Cass "
"Benilde Hall","3220 East 23rd Street","Kansas City",64127,"Jackson "
"Benjamin Banneker Charter School","6401 Rockhill Road","Kansas City",64131,"Jackson "
"Benton Medical","6724 Highway 77",Benton,63736,"Scott "
"Bernard Middle School","1054 Forder","St. Louis",63129,"St. Louis "
"Bernie Dental","741 S. Walnut Street",Bernie,63822,"Stoddard "
"Bernie Medical","741 S. Walnut Street",Bernie,63822,"Stoddard "
"Bernie R-XIII School District","121 South Spiker Street",Bernie,63822,"Stoddard "
"Best Abilities","9510 Page Avenue","St. Louis",63132,"St. Louis "
"Bethesda LC","201 North Main Street Suite 215 ","St. Charles",63301,"St. Charles "
"Bethesda Lutheran Communities","2536 South Old Highway 94 Suite 214","St. Charles",63303,"St. Charles "
"Betty Jean Kerr People's Health Centers","5701 Delmar Boulevard","St. Louis",63112,"St. Louis city "
"Betty Jean Kerr People's Health Centers - Ferguson","49 N. Florissant Rd.",Florissant,63135,"St. Louis "
"Betty Jean Kerr People's Health Centers North Site","11642 West Florissant Avenue",Florissant,63033,"St. Louis "
"Betty Jean Kerr People's Health Centers West Site","7200 Manchester Road",Maplewood,63143,"St. Louis "
"Bevier Medical Clinical","221 North Macon Street",Bevier,63532,"Macon "
"BG Resource Insurance Agency ","10720 West Florissant ","St. Louis",63136,"St. Louis "
"Big Smiles","1281 Avery Court","St. Louis",63122,"St. Louis "
"Big Springs Dental Clinic","115 Walnut Street",Ellington,63638,"Reynolds "
"Big Springs Medical Associate Inc.","109 Plum Street",Doniphan,63935,"Ripley "
"Big Springs Medical Clinic","405 Main Street","Van Buren",63965,"Carter "
"Billings R-IV School District","118 West Mt. Vernon",Billings,65610,"Christian "
"Bishop Spencer Place","4301 Madison Avenue","Kansas City",64111,"Jackson "
"BJC - Healthy Kids Express","4249 Clayton Avenue","St. Louis",63110,"St. Louis "
"BJC Behavioral Health - Farmington","1085 Maple Street",Farmington,63640,"St. Francois "
"BJC Behavioral Health - St. Louis","1430 Olive Street","St. Louis ",63103,"St. Louis "
"BJC HealthCare","4901 Forest Park Avenue","St. Louis",63108,"St. Louis "
"BJC Hospital","1 Parkview Place","St. Louis",63110,"St. Louis city "
"BJC Medical Group - Farmington","1103 West Liberty Street",Farmington,63640,"St. Francois "
"BJC Medical Group - St. Louis","670 Mason Ridge","St. Louis",63141,"St. Louis "
"Black & Veatch","8400 Ward Parkway","Kansas City",64114,"Jackson "
"Black Health Care Coalition","6675 Holmes Road #650","Kansas City",64131,"Jackson "
"Black Nurses Rock St. Louis","6012 Bermuda Drive","St. Louis",63135,"St. Louis "
"Blackwater R-II School District","300 Doodridge Avenue",Blackwater,65322,"Cooper "
"Blair Oaks School District","6124 Falcon Lane","Jefferson City",65101,"Cole "
"Bloomfield Public School","505 Court Street",Bloomfield,63825,"Stoddard "
"Blue Cross & Blue Shield of Kansas City","2301 Main Street","Kansas City",64108,"Jackson "
"Blue Eye R-V School District","512 State Highway 13","Blue Eye",65611,"Stone "
"Blue Springs Pediatrics","1600 NW South Outer Road","Blue Springs",64015,"Jackson "
"Blue Springs School District","1801 Northwest Vesper","Blue Springs",64015,"Jackson "
"Body & Soul Counseling","230 Bemiston Suite 1006","St. Louis",63105,"St. Louis "
"Bolivar Schools","524 West Madison Street",Bolivar,65613,"Polk "
"Bollinger County Health Center","107 Highway 51 North","Marble Hill",63764,"Bollinger "
"BONCL R-X School District","23526 Pike 9247",Louisiana,63353,"Pike "
"Boone Convenient Care","601 Business Loop 70 West",Columbia,65201,"Boone "
"Boone County Family Resources","1209 East Walnut",Columbia,65201,"Boone "
"Boone Hospital Center","1600 East Broadway",Columbia,65201,"Boone "
"Boonslick State School for the Severely Disabled","321 Knaust Road","St. Peters",63376,"St. Charles "
"Boonville R-I School District","736 Main Street",Boonville,65233,"Cooper "
"Bootheel Counseling Services & Family Medical Clinic","760 Plantation Boulevard",Sikeston,63801,"Scott "
"Bootheel Perinatal Network","211 St. Francis Drive","Cape Girardeau ",63703,"Cape Girardeau "
"Bosworth R-V School District","102 Eldridge Street",Bosworth,64643,"Carroll "
"Bothwell Regional Health Center","1765 Commercial Street",Warsaw,65355,"Benton "
"Bothwell Regional Health Center - Sedalia","601 East 14th Street",Sedalia,65301,"Pettis "
"Bourbon Elementary","357 Jost Street",Bourbon,65441,"Crawford "
"Bowling Green School District","700 West Adams","Bowling Green",63334,"Pike "
"Boyer ABA Services LLC","22734 Pioneer Lane",Marshall,65340,"Saline "
"Branson Dialysis","101 Skaggs Road",Branson,65616,"Taney "
"Branson R-IV School District","1756 Bee Creek Road",Branson,65616,"Taney "
"Braun Home Agency","504 North Cleveland",Fayette,65248,"Howard "
"Braymer Clinic","109 Main Street",Braymer,64624,"Caldwell "
"Brentwood School District","1201 Hanley Industrial Court",Brentwood,63144,"St. Louis "
"Bridges Medical Services","256 State Highway Y",Forsyth,65653,"Taney "
"Bridges Medical Services Walk in Clinic","1440 State Highway 248 Suite O",Branson,65616,"Taney "
"Bridgeway Behavioral Health","4066 Dunnica","St. Louis",63116,"St. Louis city "
"Bridgeway Behavioral Health - Brentwood","2510 South Brentwood Boulevard",Brentwood,63105,"St. Louis "
"Bridgeway Behavioral Health - Troy","1011 East Cherry Street",Troy,63379,"Lincoln "
"Broadway Family Clinic","714 Broadway","Cape Girardeau",63701,"Cape Girardeau "
"Broadway Urgent Care","2003 West Broadway Suite 100",Columbia,65203,"Boone "
"Brookfield R-III School District","128 Pershing Road",Brookfield,64628,"Linn "
"Brownridge Pediatrics","5992 Howdershell Road Suite 106",Hazelwood,63042,"St. Louis "
"Brunswick School District","1008 County Road",Brunswick,65236,"Chariton "
"Bryan University","4255 Nature Center Way",Springfield,65804,"Greene "
"Bunker R-III School District","1 Eagle Pride Drive",Bunker,63629,"Dent "
"Burd Home Health","350 Sunset Road","Lake Ozark",65049,"Camden "
"Burrell Behavioral Health","3301 Berrywood Drive",Columbia,65201,"Boone "
"Burrell Behavioral Health - Battlefield Road","2885 West Battlefield Road",Springfield,65807,"Greene "
"Burrell Behavioral Health - Bradford Parkway","1300 East Bradford Parkway",Springfield,65804,"Greene "
"Burrell Behavioral Health - Branson","155 Corporate Place",Branson,65616,"Taney "
"Burrell Behavioral Health - Branson West","18593 Business Highway 13 Suite 104","Branson West",65737,"Stone "
"Burrell Behavioral Health - Campbell Avenue","3646 South Campbell Avenue",Springfield,65807,"Greene "
"Burrell Behavioral Health - Cherry","1931 East Cherry",Springfield,65803,"Greene "
"Burrell Behavioral Health - East Grand","323 East Grand",Springfield,65807,"Greene "
"Burrell Behavioral Health - Marshall","33 East Jackson Street",Marshall,65340,"Saline "
"Burrell Behavioral Health - Park Clinic","800 South Park Avenue",Springfield,65807,"Greene "
"Burrell Behavioral Health - Sedalia","201 West Third Street",Sedalia,65301,"Pettis "
"Burrell Behavioral Health - Walnut Street","1805 East Walnut Street",Columbia,65203,"Boone "
"Butler County Health Department","1619 North Main","Poplar Bluff",63901,"Butler "
"Butterfield Park Pediatric Clinic","1195 North Oakland Suite 2",Bolivar,65613,"Polk "
"C My Style Salon","13870 Highway 59",Neosho,64850,"Newton "
"Cabool R-IV School District","1025 Rogers Avenue",Cabool,65689,"Texas "
"Cabot Westside Medical and Dental","2121 Summit Street","Kansas City",64108,"Jackson "
"Cainsville Medical Clinic","707 Victory Lane",Cainsville,64632,"Harrison "
"Caldwell County Health Department","255 West Main Street",Kingston,64650,"Caldwell "
"Calhoun R-VIII School District","409 South College",Calhoun,65323,"Henry "
"California R-I School District","211 South Owen Street",California,65018,"Moniteau "
"Camdenton R-III School District","172 Dare Boulevard",Camdenton,65020,"Camden "
"Cameron R-I School District","423 North Chestnut",Cameron,64429,"Clinton "
"Cape Girardeau Central Middle School","1900 Thilenius","Cape Girardeau",63701,"Cape Girardeau "
"Cape Girardeau County Public Health Center","1121 Linden Street","Cape Girardeau",63703,"Cape Girardeau "
"Cape Girardeau Public Schools","1550 Themis","Cape Girardeau",63701,"Cape Girardeau "
"Cape Girardeau Public Schools - Central High School","1000 South Silver Springs Road","Cape Girardeau",63703,"Cape Girardeau "
"Cape Girardeau Public Schools - Central Junior High","1910 Whitener","Cape Girardeau",63701,"Cape Girardeau "
"Cape Girardeau Public Schools - Early Childhood Center","1610 Whitener Street","Cape Girardeau",63701,"Cape Girardeau "
"Capital Region Medical Center","1125 Madison Street","Jefferson City",65101,"Cole "
"Capital Region Medical Center - Center for Mental Wellness","1432 Southwest Boulevard","Jefferson City",65109,"Cole "
"Capital Region Pediatric Associates","1014 Madison Street","Jefferson City ",65101,"Cole "
"Care Connection for Aging Services","106 West Young",Warrensburg,64093,"Johnson "
CareHere,"600 Northwest Murray Road Suite 103","Lee's Summit",64081,"Jackson "
"CareSTL Health","5471 Dr. Martin Luther King Drive","St. Louis",63112,"St. Louis city "
"CareSTL Health - Pope Avenue","4500 Pope Avenue","St. Louis",63115,"St. Louis city "
"CareSTL Health - Whittier Street","2425 North Whittier Street","St. Louis",63113,"St. Louis city "
"Caris Healthcare","3980 South Jackson Avenue","Independence ",64057,"Jackson "
"Carl Junction R-I School District","206 South Roney","Carl Junction",64834,"Jasper "
"Carondelet Health & Dental Center","401 Holly Hills Avenue","St. Louis",63111,"St. Louis city "
"Carpenters Wellness Center","1403 Hampton Avenue","St. Louis",63139,"St. Louis city "
"Carroll County Memorial Hospital","1502 North Jefferson Street",Carrollton,64633,"Carroll "
"Carrollton R-VII School District","300 East Ninth Street",Carrollton,64633,"Carroll "
"Carter Healthcare","19401 East US Highway 40 Suite 152",Independence,64055,"Jackson "
"Caruthersville Medical Center","109 E. 5th St.",Caruthersville,63830,"Mississippi "
"Caruthersville School District","1711 Ward Avenue",Caruthersville,63830,"Pemiscot "
"Cass County Dental Clinic","802 East Walnut Street",Belton,64012,"Cass "
"Cassville R-IV School District","1501 Main Street",Cassville,65625,"Barry "
"Catapult Learning ","409 Vandiver Drive",Columbia,65202,"Boone "
"Catholic Charities of St. Louis","4532 Lindell Boulevard","St. Louis",63108,"St. Louis "
"Celebrate Recovery","7804 Highway 17",Houston,65483,"Texas "
"Centene Corporation","7700 Forsyth Boulevard","St. Louis ",63105,"St. Louis "
"Center for Hearing & Speech","9835 Manchester Road","St. Louis",63119,"St. Louis "
"Center for Human Services - Early Head Start","4515 West Main Street",Sedalia,65301,"Pettis "
"Center for Human Services - Liberty","920 Kent Street",Liberty,64068,"Clay "
"Center for Human Services - Sedalia","1500 Ewing Drive ",Sedalia,65301,"Pettis "
"Center for Life Solutions ","9144 Pershall Road","St. Louis",63042,"St. Louis "
"Center for Practical Bioethics","1111 Main Street Suite 500","Kansas City",64105,"Jackson "
"Center School District 58","8701 Holmes Road","Kansas City",64131,"Jackson "
"Centerpoint Medical Center","19600 East 39th Street",Independence,64057,"Jackson "
"CenterPointe Hospital","4801 Weldon Springs Parkway","St. Charles",63304,"St. Charles "
"Centerville R-I School District","2323 Green Street",Centerville,63633,"Reynolds "
"Central Connections Inc.","3236 Emerald Lane","Jefferson City",65109,"Cole "
"Central Jackson County Fire Protection District","805 Northeast Jefferson","Blue Springs",64014,"Jackson "
"Central Missouri Area Agency on Aging - Columbia","1121 Business Loop 70 East Suite 2A",Columbia,65201,"Boone "
"Central Missouri Area Agency on Aging - Mexico","606 Park Street",Mexico,65265,"Audrain "
"Central Missouri Community Action","800 North Providence Road",Columbia,65203,"Boone "
"Central Ozarks Dental Clinic","304 West Washington Street",Richland,65556,"Pulaski "
"Central Ozarks Medical Center - Camdenton","1652 North Business Route 5",Camdenton,65065,"Camden "
"Central Ozarks Medical Center - Eldon","112 South Pine",Eldon,65026,"Miller "
"Central Ozarks Medical Center - Osage Beach","3870 Columbia Avenue","Osage Beach",65065,"Camden "
"Central Ozarks Medical Center - Richland","304 West Washington Avenue",Richland,65556,"Pulaski "
"Central Ozarks Medical Center - Waynesville","200 Fleetwood Drive",Waynesville,65583,"Pulaski "
"Central Ozarks Medical Center (Administration)","304 West Washington Street",Richland,65556,"Pulaski "
"Central Ozarks Medical Clinic","304 West Washington Street",Richland,65556,"Pulaski "
"Central R-III School District","112 Rebel Drive","Park Hills",63601,"St. Francois "
"Central States Conference","3324 Franklin Avenue","St. Louis",63106,"St. Louis city "
"Central US ACO LLC","2405 Aspen",Highlandville,65669,"Greene "
"Central Workforce Development Board Inc.","706 South Bishop",Rolla,65401,"Phelps "
"Centralia R-VI School District","510 South Rollins",Centralia,65240,"Boone "
"Certified Onsite Health Care LLC","805 2nd Street",Summersville,65479,"Shannon "
"Chadwick R-1 School District","7090 MO-125 Chadwick MO 65629",Chadwick,65629,"Christian "
"Chaffee R-II School District","408 Elliott Avenue",Chaffee,63740,"Scott "
"Chances of Hope","27 South Madison Street","Webb City",64870,"Jasper "
"Chariton County Health Center","206 State Street",Keytesville,65261,"Chariton "
"Charleston R-I School District","311 East Tom Brown Street",Charleston,63834,"Mississippi "
"Chesterfield Pediatric Dentistry","14377 Woodlake Drive Suite 102",Chesterfield,63017,"St. Louis "
"Children's Behavioral Services LLC","4031 County Road 5320",Pomona,65789,"Howell "
"Children's Mercy Hospital - Allergy & Immunology","3101 Broadway Boulevard FL 6","Kansas City",64111,"Jackson "
"Children's Mercy Hospital - Broadway","3101 Broadway Boulevard","Kansas City",64111,"Jackson "
"Children's Mercy Hospital - Gillham","2401 Gillham Road","Kansas City",64108,"Jackson "
"Children's Mercy Hospital - Pershing","2420 Pershing Suite G10","Kansas City",64108,"Jackson "
"Children's Mercy Hospital - Preferred Pediatrics","241 Northwest McNary Court","Lee's Summit",64086,"Jackson "
"Children's Mercy Hospital - Summit Pediatrics","3171 Northeast Carnigie Drive","Lee's Summit",64064,"Jackson "
"Children's Mercy Operation Breakthrough Clinic","3039 Troost Avenue","Kansas City",64109,"Jackson "
"Children's Therapy Center","525 North Keene Street Suite 101",Columbia,65201,"Boone "
"Chillicothe R-II School District","1020 Old Hwy 36 West",Chillicothe,64601,"Livingston "
"Christian Brothers College High School","1850 De La Salle Drive","St. Louis",63141,"St. Louis "
"Christian County Health Department","301 East Brick Street",Ozark,65721,"Christian "
"Christian County Links","728 North 22nd Street",Ozark,65721,"Christian "
"Citizens Memorial Healthcare - Bolivar Family Care Center","1240 North Butterfield Road",Bolivar,65613,"Polk "
"Citizens Memorial Hospital","1500 North Oakland Avenue",Bolivar,65613,"Polk "
"Citizens Memorial Hospital - Buffalo","201 South Ash",Buffalo,65622,"Dallas "
"Citizens Memorial Hospital - Home Medical Equipment","1915 South Springfield Avenue",Bolivar,65613,"Polk "
"Citizens Memorial Hospital - Pleasant Hope Family Medical Center","209 South Main Street","Pleasant Hope",65725,"Polk "
"City of Kansas City Missouri - Line Creek Community Center","5940 Northwest Waukomis Drive","Kansas City",64151,"Platte "
"City of Kansas City Missouri - North Community Center","3930 Northeast Antioch Road","Kansas City",64117,"Clay "
"City of Kansas City Missouri Health Department","2400 Troost Avenue Suite 1200","Kansas City",64108,"Jackson "
"City of Kansas City Missouri Parks & Recreation Department","4600 East 63rd Street","Kansas City",64130,"Jackson "
"City of Springfield Missouri","320 East Central Street",Springfield,65807,"Greene "
"City of St. Charles School District","400 North 6th Street","St. Charles",63301,"St. Charles "
"City of St. Joseph Health Department","904 South 10th Street","St. Joseph",64506,"Buchanan "
"City of St. Louis Department of Health","1520 Market Street Suite 4051","St. Louis",63103,"St. Louis city "
"City of St. Louis Municipal Courts","1520 Market Street","St. Louis",63103,"St. Louis city "
"City Union Mission","1112 East 10th Street","Kansas City",64106,"Jackson "
"Clarity Healthcare","141 Communications Drive",Hannibal,63401,"Marion "
"Clarity Healthcare - The PATCH Center","4600 McMasters Avenue",Hannibal,63401,"Marion "
"Clark Community Mental Health Center - 3rd Street","411 3rd Street ",Monett,65708,"Lawrence "
"Clark Community Mental Health Center - North Central","1701 North Central Avenue",Monett,65723,"Lawrence "
"Clark Community Mental Health Center - Pierce City","104 West Main Street","Pierce City",65723,"Lawrence "
"Clark County R-I School District","751 West Chestnut",Kahoka,63445,"Clark "
"Clarkton C-4 School District","P.O. Box 637 Highway 162",Clarkton,63837,"Dunklin "
"Clay County Public Health Center","800 Haines Drive",Liberty,64068,"Clay "
"Clayton Behavioral","9890 Clayton Road","St. Louis",63124,"St. Louis "
"Clearwater R-I School District","Route 4 Box 1004",Piedmont,63957,"Wayne "
"Cleveland Dental ","601 East Russell Avenue Suite B",Warrensburg,64093,"Johnson "
"Clever R-V School District","103 South Public Avenue",Clever,65631,"Christian "
"Climax Springs R-IV School District","571 Climax Avenue","Climax Springs",65324,"Camden "
"Clinical Research of the Ozarks Inc.","601 West Nifong Building 2A",Columbia,65203,"Boone "
"Clinical Research of the Ozarks Inc. - Warrensburg","407A East Russell Avenue Suite 3",Warrensburg,64093,"Johnson "
"Clinical Support & Education Building CE433","1 Hospital Drive","Columbia ",65212,"Boone "
"Clinton County R-III School District","603 Frost Street",Plattsburg,64477,"Clinton "
"Clinton County Senate Bill 40","406 Elm Street",Lathrop,64465,"Clinton "
"Clinton School District","701 South 8th Street",Clinton,64735,"Henry "
"Cloverleaf Pediatrics","4200 North Cloverleaf Suite D & E","St. Peters",63376,"St. Charles "
"Cockerell & McIntosh Pediatrics - Mize Road","205 Northwest R.D. Mize Road Suite 304","Blue Springs",64014,"Jackson "
"Cockerell & McIntosh Pediatrics - Winner Road","11200 Winner Road",Independence,64052,"Jackson "
"Cole Camp R-I School District","500 South Keeney Street","Cole Camp",65325,"Benton "
"Cole County R-I School District","13600 Route C",Russellville,65074,"Cole "
"Cole County Residential Services","1908 Boggs Creek Road","Jefferson City",65101,"Cole "
"College Heights Christian School","4311 East Newman Road",Joplin,64801,"Jasper "
"College View State School for the Severely Disabled","1101 North Goetz Boulevard",Joplin,64801,"Jasper "
"Collegiate School of Medicine & Bioscience High School","1547 South Theresa","St. Louis",63104,"St. Louis "
"Columbia College","1001 Rogers Street",Columbia,65201,"Boone "
"Columbia Hep C Alliance","601 Business Loop 70 West Suite 138",Columbia,65203,"Boone "
"Columbia Missourian","221 South 8th Street",Columbia,65203,"Boone "
"Columbia Public Schools","1818 West Worley Street",Columbia,65203,"Boone "
